"sentiment_score","keyword","keyword_count"
"0.9","high efficiency","1"
"0.9","15 min waiting time","1"
"-0.4","organization","1"
"-0.4","comic con 2018","1"
"0.8","wristband","1"
"0.9","first covid shot","1"
"0.9","door","1"
"0.45","recorded birds chirping","1"
"0.5","Kista","1"
"0.5","well located","1"
"0.5","sore","1"
"0.5","fair","2"
"0.7","covid-19 shot","1"
"0.25","visit","1"
"0.25","facility","1"
"0.8","Werlabs","1"
"0.65","Japanese","1"
"1","smoothly","6"
"-0.4","coffin fair","1"
"-0.3","comiccon","1"
"-0.3","swords","1"
"1","COVID vaccine","1"
"1","hand sanitisers","1"
"0.8","show ID","1"
"-0.4","queuing system","1"
"0.9","service hall","1"
"-0.15","dark","1"
"-0.15","nice","1"
"-0.2","ten-minute commuter train","1"
"0.9","well arranged","1"
"0.05","organized","1"
"-0.2","fair","1"
"0.9","scenes","1"
"0.9","face masks","1"
"-0.2","Small fair","2"
"-0.2","good location","1"
"0.9","vaccination center","2"
"0.9","concert","1"
"-0.2","food","1"
"-0.2","queues closed","1"
"0.75","parking facilities","2"
"0.05","Sign & Print 2019","1"
"-0.65","vaccinated","1"
"-0.65","signage","1"
"-0.65","SEK 900","1"
"0.9","pandemic","1"
"0.9","safely","3"
"0.8","fair","2"
"0.8","parking spaces","1"
"0.8","recommend","1"
"0.25","move","1"
"0.7","restaurants","1"
"0.7","shops","1"
"0.7","around the clock","1"
"-0.1","exhibition space","3"
"-0.1","shuttle","1"
"-0.7","breathing protection","1"
"0.2","Large","1"
"-0.15","Älvsjömässan","1"
"-0.85","old man","1"
"-0.85","AstraZeneca","1"
"0.6","Food","1"
"0.9","inside","1"
"1","hand sanitizer","1"
"1","mouth protection","1"
"1","room","1"
"1","sit down","1"
"1","15 minutes","4"
"0.7","booths","1"
"0.1","queue","2"
"0.9","first time","1"
"0.9","extremely satisfied","1"
"0.85","covid vaccine","2"
"0.75","restaurants","1"
"-0.2","booth","1"
"-0.25","fair","1"
"-0.25","pre-solution halls","1"
"-0.25","entrance","1"
"0.85","Kistamessan","1"
"0.85","games","1"
"0.25","exhibitors","1"
"0.25","crowded","1"
"0.95","efficient","1"
"0.95","choose","1"
"0.95","vaccination site","1"
"0.8","customer support","1"
"0.8","flexibility","1"
"0.8","atmosphere","1"
"0.8","event","1"
"0.2","entrance hall way","1"
"0.9","October 2016","1"
"-0.5","complaint","1"
"-0.5","delay","1"
"0.85","exhibition","1"
"0.85","pandemic","1"
"-0.75","company party","1"
"-0.75","poorly arranged","1"
"0.9","Covid vaccination","3"
"0.9","five stars","1"
"0.8","conventions","1"
"0.8","in and out","1"
"0.9","Pfizer","1"
"0.9","heroes","1"
"0.45","rating","1"
"0.5","Messa","1"
"0.25","8/3/23","1"
"0.25","easy to find","2"
"0.25","SEK 172","1"
"0.8","antibody tests","1"
"0.8","Arne Beurlings Torg 5","1"
"0.65","made in asia","1"
"0.65","reasonable price","1"
"-0.4","expensive","2"
"-0.4","VIP ticket","1"
"-0.4","mashed potatoes","1"
"-0.2","convention","1"
"-0.2","exhibitors","2"
"-0.3","knives","1"
"0.8","stand in line","1"
"-0.5","limited capacity","1"
"-0.2","lectures","1"
"-0.9","military escort","1"
"0.9","politicians","1"
"-0.85","elderly people","1"
"0.1","covid-19","1"
"0.85","fair","2"
"-0.4","Expensive parking","1"
"0.85","maintained concentration","1"
"0.65","anime","1"
"0.9","air","1"
"-0.5","2000 people","1"
"0.85","fun","2"
"0.85","costume","1"
"0.85","mario games","1"
"0.85","adventure","1"
"0.1","Corona vaccine","1"
"0.1","safe","1"
"0.1","worthless","1"
"0.8","Fresh premises","1"
"0.8","fantastic AC system","1"
"0.8","summer","1"
"0.8","30 degrees","1"
"0.8","elevator","1"
"0.8","escalator","1"
"-0.2","pay","2"
"-0.2","chance","1"
"0.3","queuing","1"
"0.3","talented young people","1"
"0.3","service staff","1"
"-0.7","open","1"
"1","Vaccination","4"
"1","mouth guards","1"
"0.1","staff","2"
"0.82","professional behavior","1"
"0.45","toilets","1"
"-0.4","sharpening","1"
"-0.4","full quickly","1"
"0.1","visitors","1"
"0.15","people","1"
"0.15","vaccine","1"
"0.15","SEK 35","1"
"0.4","change","1"
"0.8","sign up","1"
"0.8","Comic Con 2018","1"
"0.8","next year","1"
"0.5","Microsoft Tech Days 2017","1"
"0.5","building","1"
"0.5","auditorium seating","1"
"0.5","large","1"
"0.9","good security","1"
"0.9","ready in less than 5 minutes","1"
"0.9","Impressed","1"
"0.95","staff","2"
"0.65","southern side","1"
"0.65","parking spaces","1"
"0.65","huge","1"
"0.65","events","1"
"-0.5","exhibition hall","1"
"0","Slovakia","1"
"0.85","exhibition spaces","1"
"0.85","action figures","1"
"0.85","free","1"
"-0.6","poor exhibitors","1"
"0.8","admission","1"
"0.1","vaccine","2"
"0.75","two occasions","1"
"0.75","expect","1"
"-0.1","doors","1"
"1","Comi Con Stockholm","1"
"1","Best fair staff","1"
"0.8","operation","1"
"0.9","Covid vaccination center","1"
"0.6","Helenelund","1"
"0.85","200 meter queue","1"
"0.8","Fast","3"
"0.8","people","4"
"0.8","no congestion","1"
"0.6","second Covid vaccine shot","1"
"0.7","expensive parking","1"
"0.7","dose 1","1"
"0.7","venue","1"
"0.6","nice place","1"
"0.6","visiting","1"
"0.6","permitted","1"
"0.85","vaccination","3"
"0.85","went well","1"
"0.85","performed","1"
"-0.4","arrangement","1"
"-0.4","presenters","1"
"0.8","Stockholm County Council","1"
"0.1","first Covid injection","1"
"0.1","suitable premises","1"
"0.9","participated","1"
"0.9","international conference","1"
"0.7","exhibition hall","2"
"0.7","walk","1"
"1","smooth logistics","1"
"0.6","big place","2"
"0.6","covid19","1"
"-0.4","bad","1"
"-0.4","waiting hall","1"
"-0.75","hot","1"
"-0.75","centre","1"
"0.8","arrangements","1"
"0.8","cleared","1"
"0.9","effective","2"
"0.65","Well-organized fair","1"
"0.65","Älvsjö","1"
"0.8","SETT exhibition","1"
"0.9","first shot","2"
"0.9","smooth","8"
"1","without any problems","1"
"0.8","arrived","1"
"0.25","public sector","1"
"0.25","idea-driven organisations","1"
"-0.2","stick one","1"
"0.9","Fast","2"
"0.9","every day","1"
"0.1","20 minute walk","1"
"0","early","1"
"0.75","spacious hall","1"
"0.75","fresh toilets","1"
"0.9","nice place","1"
"0.9","worth","1"
"0.7","nice","1"
"0.9","shuttle","1"
"0.9","well prepared","1"
"-0.85","dissatisfied","1"
"1","wait","1"
"0.7","good selection","1"
"0.15","view","1"
"0.9","visited","1"
"0.9","place","3"
"0.9","rays of sunshine","1"
"0.6","inside","1"
"0.6","waited","1"
"0.3","humming","1"
"0.9","syringe","1"
"0.9","appointed time","1"
"0.8","250 exhibitors","1"
"0.85","impressed","1"
"0.85","vaccinate","1"
"0.3","Västerhaninge","1"
"0.8","ranks","1"
"-0.4","excellent organization","1"
"-0.4","very negative","1"
"0.9","vaccinator","1"
"-0.2","Big","1"
"0","Kista","2"
"-0.1","difficult to find","1"
"-0.1","used","1"
"0.1","what is where","1"
"0.9","healthcare staff","1"
"0.8","long queue","1"
"0.9","good logistics","1"
"0.4","fair visitor","1"
"0.85","15 minutes","1"
"0.9","planned","1"
"-0.4","large space","1"
"-0.4","warehouse","1"
"0.25","Noisy","1"
"0.75","waiting room","1"
"0","noise level","1"
"1","staff","3"
"0.75","comic con","1"
"0.75","opening","1"
"0.85","soft ice cream","1"
"-0.2","boring","2"
"-0.2","disorganized","1"
"-0.2","e4","1"
"0.9","men and women","1"
"-0.2","less well managed service","1"
"-0.2","air","1"
"-0.2","stressed","1"
"-0.2","35 minutes","1"
"-0.9","small","1"
"-0.3","registration desk","1"
"0.05","exhibition hall","1"
"0.05","previous days","1"
"0.9","visit","3"
"0.8","selection","1"
"-0.85","security blocks the way","1"
"-0.85","go home","2"
"0.25","exhibition","1"
"0.25","children","1"
"0.7","range","1"
"0.3","fair","2"
"0.3","wheelchair","1"
"-0.45","dead","1"
"-0.45","Google","1"
"-0.1","large square box","1"
"-0.1","venue","1"
"-0.1","subway","1"
"-0.7","visitors","1"
"-0.7","mouth protection","1"
"0.2","quick","1"
"0.2","2 hours","1"
"-0.85","disappointed","1"
"-0.85","whole day lost","1"
"-0.85","elderly","1"
"-0.85","have to take","1"
"0.6","airplane hangar","1"
"0.6","service","1"
"0.6","exhibitor","1"
"0.9","attending","1"
"0.9","heat","1"
"0.9","pleasant","3"
"0.9","discomfort","1"
"-0.2","large convention center","1"
"-0.2","city center","1"
"-0.2","background noise level","1"
"-0.2","demo areas","1"
"1","covid-19 vaccination","1"
"1","large clock","1"
"0.7","exhibition space","1"
"0.7","short wait times","1"
"0.7","questions","1"
"0.1","nurses","1"
"0.1","line","1"
"0.1","organized","1"
"0.1","nurse","1"
"0.5","toy","1"
"0.5","sticker","1"
"0.9","food fair","1"
"0.9","not disappointed","1"
"0.9","quite hungry","1"
"0.9","Kista Convention Center","1"
"0.9","great facility","1"
"0.85","spacious rooms","1"
"0.85","greater conventions","1"
"0.85","neat","1"
"0.85","Helenelund pentaltåg station","1"
"0.75","Easy to find","1"
"0.75","neighbor","1"
"0.75","cross-railway","1"
"0.75","walking distance","1"
"-0.2","halls","1"
"-0.2","building","2"
"-0.25","location","1"
"-0.25","wrong direction","1"
"0.85","comic con","2"
"0.85","fun experience","1"
"0.85","t-shirts","1"
"0.85","jewelry","1"
"0.85","anime characters","1"
"0.85","eat","1"
"0.85","band","1"
"0.25","Motorhome fair","1"
"0.25","spaces","1"
"0.25","coffee","1"
"0.25","parking","2"
"0.25","parking guards","1"
"0.95","well thought out","1"
"0.95","opportunity","1"
"0.8","LBS","1"
"0.8","reception","1"
"0.8","exhibitor food tickets","1"
"0.8","sold out","1"
"0.2","sick","1"
"0.2","resting area","1"
"0.2","sofa","1"
"0.9","exhibition","1"
"0.9","Parking","1"
"0.9","simple","1"
"-0.5","vaccination","1"
"-0.5","booth","1"
"-0.5","various reasons","1"
"0.85","COVID tests","1"
"0.85","medium size events","1"
"-0.75","event","1"
"-0.75","coordination","1"
"-0.75","wardrobes","1"
"-0.75","bad acoustics","1"
"0.9","professional staff","2"
"-0.4","space indoors","1"
"-0.4","events","1"
"-0.4","lot of people","1"
"-0.4","narrow walkways","1"
"0.8","fun","2"
"0.8","dine","1"
"0.8","outside","1"
"0.8","convention center","1"
"0.9","18 minutes","1"
"0.9","left the building","1"
"0.9","15 post-spray observation","1"
"0.9","Great staff","1"
"0.85","exhibition space","1"
"0.85","not gigantic","1"
"0.85","overview","1"
"0.85","staff","4"
"0.85","help","1"
"0.85","super","1"
"0.45","knowledgeable","1"
"0.45","service minded staff","1"
"0.45","positive affirmations","1"
"0.5","Swedish","1"
"0.5","two-day fair","1"
"0.5","effective","1"
"0.5","minus","1"
"0.5","outside","1"
"0.7","muppets","1"
"0.7","forbidden","1"
"0.7","take pictures","1"
"0.7","fair's premises","1"
"0.25","fresh","1"
"0.25","long way","1"
"0.25","exhibition hall","1"
"0.25","hard to find parking","1"
"0.25","ok price","1"
"0.25","12 hours","1"
"0.8","Kistamässan","2"
"0.8","fast","5"
"0.8","smooth","3"
"0.8","identification","1"
"0.8","free of charge","1"
"0.65","manga","1"
"0.65","food trucks","1"
"0.65","queuing","1"
"1","Fast","3"
"1","planned","2"
"1","logistics","2"
"1","professionals","1"
"1","quickly","3"
"-0.4","Comicon","1"
"-0.4","SEK 1000","1"
"-0.4","SEK 275","1"
"-0.4","meatballs","1"
"-0.2","comic con 2018","1"
"-0.2","big games","1"
"-0.2","room","1"
"-0.2","move","1"
"-0.2","snail","1"
"-0.3","guards","1"
"-0.3","confiscate","1"
"-0.3","plastic knife","1"
"-0.3","inside doors","1"
"1","arrangements","1"
"1","quick","1"
"1","masks","1"
"1","social distancing","1"
"0.8","vaccine injection","1"
"0.8","long line","1"
"0.8","staff","4"
"0.8","friendly","1"
"0.8","well organized","5"
"0.8","booked time","1"
"0.8","app","1"
"0.8","entrance","1"
"0.8","vaccination","12"
"0.8","vaccinated","5"
"0.8","large distances","1"
"-0.5","location","1"
"-0.5","problem","1"
"-0.5","toilets","1"
"-0.5","one restroom","1"
"-0.5","first floor area","1"
"0.85","Star wars","1"
"0.85","amine","1"
"0.85","brother","1"
"0.6","good","1"
"0.6","spending a day","1"
"0.6","not shopping","1"
"0.75","Nice hosts","1"
"0.75","Clean toilets","1"
"0.75","Convenient","1"
"0.75","parking","2"
"0.75","food selection","1"
"0.1","parking","1"
"0.1","SEK 35 per hour","1"
"0.8","cool","1"
"0.8","nice inside","1"
"0.8","one floor up","1"
"-0.2","things","1"
"-0.2","entrance","1"
"0.3","Black mirror","1"
"0.3","place","1"
"0.3","Large areas","1"
"0.3","silence","1"
"0.3","people","1"
"-0.7","fairs","1"
"-0.7","service","1"
"-0.7","food","1"
"-0.7","better","1"
"1","disinfection stations","1"
"1","Friendly staff","3"
"1","The top","1"
"0.1","concentration camp","1"
"0.1","mass vaccination","1"
"0.1","super well","1"
"0.82","works well","1"
"0.82","agencies","1"
"0.82","mistakes","1"
"0.45","venue","1"
"0.45","larger events","1"
"0.45","long queues","1"
"0.45","wait","1"
"0.45","2-3 minutes","1"
"-0.4","extremely smooth","1"
"-0.4","well handled","1"
"-0.4","parking","1"
"-0.4","ridiculously expensive","1"
"-0.4","guards","1"
"-0.4","circulate","1"
"-0.4","vultures","1"
"0.9","many people","1"
"0.9","nurses","2"
"0.9","nice reception","1"
"-0.4","lack","1"
"-0.4","places to eat","1"
"-0.4","trade fairs","1"
"-0.4","selection","1"
"0.1","service","1"
"0.1","covid vaccination","1"
"0.1","photos","1"
"0.1","prohibited","1"
"0.15","order","1"
"0.15","park","1"
"0.4","located","1"
"0.4","public transport","1"
"0.4","short walk","1"
"0.8","Spiderman screening","1"
"0.8","forgot","1"
"0.8","happy","1"
"0.8","visit","2"
"0.8","back again","1"
"0.8","cosplay","1"
"0.25","itinerary","1"
"0.25","Kista","1"
"0.25","bus","1"
"0.25","523","1"
"0.25","walk","1"
"0.25","10 minutes","1"
"0.5","simultaneous conferences","1"
"0.5","ample provision","1"
"0.9","dispatch","1"
"0.9","no queues","3"
"0.95","calm","1"
"0.65","150:-kr a day","1"
"0.65","center","1"
"-0.5","critical","1"
"-0.5","expensive","2"
"-0.5","fairs","1"
"0.6","fairly good spacing","1"
"0.6","get around","1"
"0.6","aisles","1"
"0.6","stands","1"
"0","Vaccine","1"
"0","Covid","1"
"0","76th minute","1"
"0","football","1"
"0","European Championship","1"
"0.35","booths","1"
"0.35","food","1"
"0.85","first shot","1"
"0.85","organised","1"
"0.85","friendly staff","3"
"0.85","dressed","1"
"0.85","spiderman noir","1"
"-0.6","motorhome fair","1"
"-0.6","small selection","1"
"-0.6","coffin fair","1"
"0.2","venue","1"
"0.2","planned","1"
"0.2","kiosk","1"
"0.2","room","1"
"0.2","outside","1"
"0.8","venue","2"
"0.8","distribution","1"
"0.8","queue","1"
"0.8","corona distance","1"
"0.1","masks","1"
"0.1","safety","1"
"0.1","arranged","1"
"0.1","act","1"
"0.75","fresh premises","1"
"0.75","good selection","1"
"0.75","food","1"
"0.75","satisfied","1"
"-0.1","Professional arrangement","1"
"-0.1","hotel","1"
"-0.1","not open","1"
"-0.1","Torrential rain","1"
"1","super venue","1"
"1","possible five","1"
"1","Very happy","1"
"0.8","property fair 2021","1"
"0.4","around","1"
"0.7","covid vaccination","2"
"-0.25","vaccine","1"
"0.75","queues","2"
"-0.2","municipal transport","1"
"-0.9","evenings","1"
"0.2","Google Cloud Summit","1"
"-0.15","old","1"
"1","check the time","1"
"0.5","5/5","1"
"0.85","visible","1"
"0.25","working early","1"
"0.95","infection-proof","1"
"0.2","visit","2"
"0.9","thank you","1"
"0.5","boring lunch stops","1"
"0.65","live cooking","1"
"1","nursing staff","1"
"1","no waiting","1"
"0.8","calm","1"
"0.8","2nd time","1"
"0.85","mother","1"
"0.6","worth","1"
"0.75","Well-kept","1"
"0.1","free","2"
"-0.7","many years","1"
"1","congestion","2"
"1","welcoming","1"
"0.1","doomsday feeling","1"
"0.1","long queues","1"
"0.82","staff","1"
"0.82","help","1"
"0.82","over in 5 reds","1"
"0.45","Tech days","1"
"0.9","good information","1"
"-0.4","available","1"
"-0.4","boring","2"
"0.1","well organized","2"
"0.15","pay","1"
"0.15","minimum","1"
"0.25","mall","1"
"0.95","Vaccination","1"
"0.6","Good surfaces","1"
"0.6","reasonably easy","1"
"0.6","better marking","1"
"0.35","large areas","1"
"0.35","volume of people","1"
"0.85","arrangement","1"
"-0.6","news","1"
"-0.6","other fairs","1"
"0.2","Exhibited","1"
"0.2","missed","1"
"-0.1","downside","1"
"-0.1","light wind","1"
"1","well-run event","1"
"1","10 stars","1"
"0.8","property management","1"
"0.85","Stockholm","1"
"0.35","Microsoft Tech Days","1"
"0.8","monitoring","1"
"0.8","entry","1"
"0.8","new exciting solutions","1"
"0.9","second Pfizer shot","1"
"0.9","large place","1"
"0.9","no crowding","1"
"0.9","fast","4"
"0.9","convenient","1"
"0.6","Pleasant trade fair premises","1"
"0.6","good communication","1"
"0.6","walking distance","1"
"0.6","Commuter train","1"
"0.85","well organized","1"
"0.85","get in","1"
"0.8","daughter","1"
"0.8","Large surfaces","1"
"0.8","Simple","2"
"0.8","Smooth","1"
"0.6","Saturday afternoon","1"
"0.6","not busy","1"
"0.6","plenty of space","1"
"0.6","sit","2"
"0.6","15 mins","1"
"0.7","well-ordered","1"
"0.7","well-directed","1"
"0.7","well-thought-out","1"
"0.7","effective","1"
"0.7","Vaccination","1"
"0.7","arrive on time","1"
"0.7","smoothly","1"
